Course Code,Course Name,Credit Hours,Year Level,Semester Offered,Department Scope,Stream Scope,Prerequisites (Split by commas),Is Droppable
Phil1009,Logic and Critical Thinking ,3,1,1,Common,Common,None,TRUE
Psyc1011,General Psychology,3,1,1,Common,Common,None,TRUE
FLEn1003,Communicative English Language Skills I,3,1,1,Common,Common,None,TRUE
GeEs1005,Geography of Ethiopia and the Horn,3,1,1,Common,Common,None,TRUE
Math1007,Mathematics for Natural Science,3,1,1,Common,Common,None,TRUE
SpSc1013,Physical Fitness,0,1,1,Common,Common,None,TRUE
Phys1001,General Physics,3,1,1,Common,Common,None,TRUE
FLEn1004,Communicative English Language Skills II,3,1,2,Common,Common,FLEn1003,TRUE
MCiE1012,Moral and Civic Education,2,1,2,Common,Common,None,TRUE
Incl1010,Inclusiveness,2,1,2,Common,Common,None,TRUE
Anth1002,Social Anthropology,2,1,2,Common,Common,None,TRUE
Entr1106,Enterpreneurship for Engineers,3,1,2,Common,Common,None,TRUE
EmTe1108,Emerging Technology for Engineers,3,1,2,Common,Common,None,TRUE
Math1014,Applied Mathematics IB,4,1,2,Common,Common,Math1007,TRUE
Econ2009,Economics,3,2,1,Common,Common,None,TRUE
Comp2003,Introduction to Computer Programming,3,2,1,Common,Common,None,TRUE
Math2007,Applied Mathematics IIB,4,2,1,Common,Common,Math1014,TRUE
GLTr2011,Global Trend,2,2,1,Common,Common,None,TRUE
MEng2101,Engineering Drawing,3,2,1,Common,Common,None,TRUE
CEng2103,Engineering Mechanics I (Statics),3,2,1,Common,Common,None,TRUE
ECEg2102,Fundamentals of Electrical Engineering,4,2,2,ECE,Common,Math1014,TRUE
ECEg2110,Probability and Random Processes,3,2,2,ECE,Common,None,TRUE
Hist2002,History of Ethiopia and the Horn,3,2,2,ECE,Common,None,TRUE
Math2042,Applied Mathematics IIIB,4,2,2,ECE,Common,Math2007,TRUE
MEng2102,Engineering Mechanics II (Dynamics),3,2,2,ECE,Common,CEng2103,TRUE
MEng2114,Engineering Thermodynamics,3,2,2,ECE,Common,None,TRUE
ECEg3101,Computational Methods,3,3,1,ECE,Common,"Comp2003, Math2042",TRUE
ECEg3103,Applied Electronics I,4,3,1,ECE,Common,ECEg2102,TRUE
ECEg3105,Signals and System Analysis,3,3,1,"ECE, EME",Common,Math2042,TRUE
ECEg3107,Electromagnetic Fields,3,3,1,ECE,Common,"Math2042, ECEg2102",TRUE
ECEg3109,Object Oriented Programming,3,3,1,ECE,Common,Comp2003,TRUE
ECEg3111,Research Methods and Presentation,2,3,1,ECE,Common,None,TRUE
ECEg3113,Electrical Workshop Practices I,1,3,1,ECE,Common,None,TRUE
ECEg3102,Applied Electronics II,3,3,2,"ECE, EME",Common,ECEg3103,TRUE
ECEg3104,Digital Logic Design,4,3,2,ECE,Common,ECEg3103,TRUE
ECEg3106,Network Analysis and Synthesis,3,3,2,ECE,Common,"ECEg2102, ECEg3105",TRUE
ECEg3108,Digital Signal Processing,4,3,2,ECE,Common,ECEg3105,TRUE
ECEg3110,Electrical Machines I,4,3,2,ECE,Common,ECEg3107,TRUE
ECEg3112,Electrical Workshop Practices II,2,3,2,ECE,Common,ECEg3113,TRUE
ECEg4101,Intoduction to Communication Systems,3,4,1,ECE,Common,"ECEg2110, ECEg3102, ECEg3105",TRUE
